"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State"
"SNS",,,"US","california","monterey","monterey bay","monterey.craigslist.org",,,,"Monterey Bay CA","California"
"LAX",,,"US","california","orangecounty","orange county","orangecounty.craigslist.org",,,,"Orange Co CA","California"
"LAX",,,"US","california","palmsprings","palm springs","palmsprings.craigslist.org",,,,"Palm Springs CA","California"
"CAZ",,,"US","california","redding","redding","redding.craigslist.org",,,,"Redding CA","California"
"SAC",,,"US","california","sacramento","sacramento","sacramento.craigslist.org",,,,"Sacramento CA","California"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","csd","city of san diego",,"San Diego CA","California"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","nsd","north SD county",,"San Diego CA","California"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","esd","east SD county",,"San Diego CA","California"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","ssd","south SD county",,"San Diego CA","California"
"SBA",,,"US","california","santabarbara","santa barbara","santabarbara.craigslist.org",,,,"Santa Barbara CA","California"
"SBP",,,"US","california","santamaria","santa maria","santamaria.craigslist.org",,,,"Santa Maria CA","California"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","sfc","san francisco",,"San Francisco Bay Area CA","California"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","sby","south bay",,"San Francisco Bay Area CA","California"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","eby","east bay",,"San Francisco Bay Area CA","California"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","pen","peninsula",,"San Francisco Bay Area CA","California"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","nby","north bay",,"San Francisco Bay Area CA","California"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","scz","santa cruz",,"San Francisco Bay Area CA","California"
"CAZ",,,"US","california","siskiyou","siskiyou county","siskiyou.craigslist.org",,,,"Siskiyou Co CA","California"
"SBP","default",,"US","california","slo","san luis obispo","slo.craigslist.org",,,,"San Luis Obispo CA","California"
"SCK",,,"US","california","stockton","stockton","stockton.craigslist.org",,,,"Stockton CA","California"
"CAZ",,,"US","california","susanville","susanville","susanville.craigslist.org",,,,"Susanville CA","California"
"LAX",,,"US","california","ventura","ventura county","ventura.craigslist.org",,,,"Ventura Co CA","California"
"VIS",,,"US","california","visalia","visalia-tulare","visalia.craigslist.org",,,,"Visalia-Tulare CA","California"
"CAZ",,,"US","california","yubasutter","yuba-sutter","yubasutter.craigslist.org",,,,"Yuba-Sutter CA","California"
"DEN",,,"US","colorado","boulder","boulder","boulder.craigslist.org",,,,"Boulder CO","Colorado"
"COS",,,"US","colorado","cosprings","colorado springs","cosprings.craigslist.org",,,,"Colorado Springs CO","Colorado"
"DEN","default",,"US","colorado","denver","denver","denver.craigslist.org",,,,"Denver CO","Colorado"
"COZ",,,"US","colorado","eastco","eastern CO","eastco.craigslist.org",,,,"Eastern CO CO","Colorado"
"FNL",,,"US","colorado","fortcollins","fort collins / north CO","fortcollins.craigslist.org",,,,"Fort Collins/North CO","Colorado"
"PUB",,,"US","colorado","pueblo","pueblo","pueblo.craigslist.org",,,,"Pueblo CO","Colorado"
"COZ",,,"US","colorado","rockies","high rockies","rockies.craigslist.org",,,,"High Rockies CO","Colorado"
"GJT",,,"US","colorado","westslope","western slope","westslope.craigslist.org",,,,"Western Slope CO","Colorado"
"BDL",,,"US","connecticut","hartford","hartford","hartford.craigslist.org",,,,"Hartford CT","Connecticut"
"HVN",,,"US","connecticut","newhaven","new haven","newhaven.craigslist.org",,,,"New Haven CT","Connecticut"
"CTZ",,,"US","connecticut","newlondon","eastern CT","newlondon.craigslist.org",,,,"Eastern CT","Connecticut"
"CTZ",,,"US","connecticut","nwct","northwest CT","nwct.craigslist.org",,,,"Northwest CT","Connecticut"
"DOV",,,"US","delaware","delaware","delaware","delaware.craigslist.org",,,,"Delaware DE","Delaware"
"VAZ",,,"US","district of columbia","washingtondc","washington","washingtondc.craigslist.org","doc","district of columbia",,"MD suburbs of DC","Maryland"
"VAZ",,,"US","district of columbia","washingtondc","washington","washingtondc.craigslist.org","nva","northern virginia",,"MD suburbs of DC","Maryland"
"VAZ",,,"US","district of columbia","washingtondc","washington","washingtondc.craigslist.org","mld","maryland",,"MD suburbs of DC","Maryland"
"FLZ",,,"US","florida","cfl","heartland florida","cfl.craigslist.org",,,,"Heartland FL","Florida"
"ORL",,,"US","florida","daytona","daytona beach","daytona.craigslist.org",,,,"Daytona Beach FL","Florida"
"MIA",,,"US","florida","fortlauderdale","fort lauderdale","fortlauderdale.craigslist.org","mdc","miami / dade",,"Fort Lauderdale FL","Florida"
"MIA",,,"US","florida","fortlauderdale","fort lauderdale","fortlauderdale.craigslist.org","brw","broward county",,"Fort Lauderdale FL","Florida"
"MIA",,,"US","florida","fortlauderdale","fort lauderdale","fortlauderdale.craigslist.org","pbc","palm beach co",,"Fort Lauderdale FL","Florida"
"RSW",,,"US","florida","fortmyers","ft myers / SW florida","fortmyers.craigslist.org","lee","lee county",,"Ft Myers/Southwest FL","Florida"
"RSW",,,"US","florida","fortmyers","ft myers / SW florida","fortmyers.craigslist.org","chl","charlotte co",,"Ft Myers/Southwest FL","Florida"
"RSW",,,"US","florida","fortmyers","ft myers / SW florida","fortmyers.craigslist.org","col","collier co",,"Ft Myers/Southwest FL","Florida"
"GNV",,,"US","florida","gainesville","gainesville","gainesville.craigslist.org",,,,"Gainesville FL","Florida"
"JAX","default",,"US","florida","jacksonville","jacksonville","jacksonville.craigslist.org",,,,"Jacksonville FL","Florida"
"FLZ",,,"US","florida","keys","florida keys","keys.craigslist.org",,,,"Florida Keys FL","Florida"
"FLZ",,,"US","florida","lakecity","north central FL","lakecity.craigslist.org",,,,"North Central FL","Florida"
"LAL",,,"US","florida","lakeland","lakeland","lakeland.craigslist.org",,,,"Lakeland FL","Florida"
"MIA","default",,"US","florida","miami","south florida","miami.craigslist.org","mdc","miami / dade",,"South FL","Florida"
"MIA","default",,"US","florida","miami","south florida","miami.craigslist.org","brw","broward county",,"South FL","Florida"
"MIA","default",,"US","florida","miami","south florida","miami.craigslist.org","pbc","palm beach co",,"South FL","Florida"
"OCF",,,"US","florida","ocala","ocala","ocala.craigslist.org",,,,"Ocala FL","Florida"
"VPS",,,"US","florida","okaloosa","okaloosa / walton","okaloosa.craigslist.org",,,,"Okaloosa/Walton FL","Florida"
"ORL","default",,"US","florida","orlando","orlando","orlando.craigslist.org",,,,"Orlando FL","Florida"
"PFN",,,"US","florida","panamacity","panama city","panamacity.craigslist.org",,,,"Panama City FL","Florida"
"PNS",,,"US","florida","pensacola","pensacola","pensacola.craigslist.org",,,,"Pensacola FL","Florida"
"SRQ",,,"US","florida","sarasota","sarasota-bradenton","sarasota.craigslist.org",,,,"Sarasota-Bradenton FL","Florida"
"SUA",,,"US","florida","spacecoast","space coast","spacecoast.craigslist.org",,,,"Space Coast FL","Florida"
"JAX",,,"US","florida","staugustine","st augustine","staugustine.craigslist.org",,,,"St Augustine FL","Florida"
"TLH",,,"US","florida","tallahassee","tallahassee","tallahassee.craigslist.org",,,,"Tallahassee FL","Florida"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","hdo","hernando co",,"Tampa Bay Area FL","Florida"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","hil","hillsborough co",,"Tampa Bay Area FL","Florida"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","psc","pasco co",,"Tampa Bay Area FL","Florida"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","pnl","pinellas co",,"Tampa Bay Area FL","Florida"
"SUA","default",,"US","florida","treasure","treasure coast","treasure.craigslist.org",,,,"Treasure Coast FL","Florida"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","mdc","miami / dade",,"West Palm Beach FL","Florida"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","brw","broward county",,"West Palm Beach FL","Florida"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","pbc","palm beach co",,"West Palm Beach FL","Florida"
"ABY",,,"US","georgia","albanyga","albany ","albanyga.craigslist.org",,,,"Albany GA","Georgia"
"AHN",,,"US","georgia","athensga","athens","athensga.craigslist.org",,,,"Athens GA","Georgia"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","atl","atlanta",,"Atlanta GA","Georgia"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","nat","otp north",,"Atlanta GA","Georgia"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","eat","otp east",,"Atlanta GA","Georgia"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","sat","otp south",,"Atlanta GA","Georgia"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","wat","otp west",,"Atlanta GA","Georgia"
"AGS",,,"US","georgia","augusta","augusta","augusta.craigslist.org",,,,"Augusta GA","Georgia"
"GAZ",,,"US","georgia","brunswick","brunswick","brunswick.craigslist.org",,,,"Brunswick GA","Georgia"
"CSG",,,"US","georgia","columbusga","columbus ","columbusga.craigslist.org",,,,"Columbus GA","Alabama"
"MCN",,,"US","georgia","macon","macon / warner robins","macon.craigslist.org",,,,"Macon/Warner Robins GA","Georgia"
"GAZ",,,"US","georgia","nwga","northwest GA","nwga.craigslist.org",,,,"Northwest GA","Georgia"
"SAV","default",,"US","georgia","savannah","savannah / hinesville","savannah.craigslist.org",,,,"Savannah/Hinesville GA","Georgia"
"SAV",,,"US","georgia","statesboro","statesboro","statesboro.craigslist.org",,,,"Statesboro GA","Georgia"
"GAZ",,,"US","georgia","valdosta","valdosta","valdosta.craigslist.org",,,,"Valdosta GA","Georgia"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","big","big island",,"Big Island HI","Hawaii"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","kau","kauai",,"Kauai HI","Hawaii"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","mau","maui",,"Maui HI","Hawaii"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","mol","molokai",,"Molokai HI","Hawaii"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","oah","oahu",,"Oahu HI","Hawaii"
"BOI",,,"US","idaho","boise","boise","boise.craigslist.org",,,,"Boise ID","Idaho"
"IDA",,,"US","idaho","eastidaho","east idaho","eastidaho.craigslist.org",,,,"East ID","Idaho"
"IDZ",,,"US","idaho","lewiston","lewiston / clarkston","lewiston.craigslist.org",,,,"Lewiston/Clarkston ID","Idaho"
"IDZ",,,"US","idaho","twinfalls","twin falls","twinfalls.craigslist.org",,,,"Twin Falls ID","Idaho"
"BMI",,,"US","illinois","bn","bloomington-normal","bn.craigslist.org",,,,"Bloomington-Normal IL","Illinois"
"ILZ",,,"US","illinois","carbondale","southern illinois","carbondale.craigslist.org",,,,"Southern IL","Illinois"
"CMI",,,"US","illinois","chambana","champaign urbana","chambana.craigslist.org",,,,"Champaign Urbana IL","Illinois"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","chc","city of chicago",,"Chicago IL","Illinois"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nch","north chicagoland",,"Chicago IL","Illinois"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","wcl","west chicagoland",,"Chicago IL","Illinois"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","sox","south chicagoland",,"Chicago IL","Illinois"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nwi","northwest indiana",,"Chicago IL","Illinois"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nwc","northwest suburbs",,"Chicago IL","Illinois"
"DEC",,,"US","illinois","decatur","decatur","decatur.craigslist.org",,,,"Decatur IL","Illinois"
"ILZ",,,"US","illinois","lasalle","la salle co","lasalle.craigslist.org",,,,"La Salle Co IL","Illinois"
"ILZ",,,"US","illinois","mattoon","mattoon-charleston","mattoon.craigslist.org",,,,"Mattoon-Charleston IL","Illinois"
"PIA",,,"US","illinois","peoria","peoria","peoria.craigslist.org",,,,"Peoria IL","Illinois"
"ILZ",,,"US","illinois","quincy","western IL","quincy.craigslist.org",,,,"Western IL","Illinois"
"RFD",,,"US","illinois","rockford","rockford","rockford.craigslist.org",,,,"Rockford IL","Illinois"
"SPI",,,"US","illinois","springfieldil","springfield ","springfieldil.craigslist.org",,,,"Springfield IL","Illinois"
"BMG",,,"US","indiana","bloomington","bloomington","bloomington.craigslist.org",,,,"Bloomington IN","Indiana"
"EVV",,,"US","indiana","evansville","evansville","evansville.craigslist.org",,,,"Evansville IN","Indiana"
"FWA",,,"US","indiana","fortwayne","fort wayne","fortwayne.craigslist.org",,,,"Fort Wayne IN","Indiana"
"IPL",,,"US","indiana","indianapolis","indianapolis","indianapolis.craigslist.org",,,,"Indianapolis IN","Indiana"
"GUS",,,"US","indiana","kokomo","kokomo","kokomo.craigslist.org",,,,"Kokomo IN","Indiana"
"MIE",,,"US","indiana","muncie","muncie / anderson","muncie.craigslist.org",,,,"Muncie/Anderson IN","Indiana"
"INZ",,,"US","indiana","richmondin","richmond ","richmondin.craigslist.org",,,,"Richmond IN","Indiana"
"SBN",,,"US","indiana","southbend","south bend / michiana","southbend.craigslist.org",,,,"South Bend/Michiana IN","Indiana"
"INZ",,,"US","indiana","terrehaute","terre haute","terrehaute.craigslist.org",,,,"Terre Haute IN","Indiana"
"LAF",,,"US","indiana","tippecanoe","lafayette / west lafayette","tippecanoe.craigslist.org",,,,"Lafayette/West Lafayette IN","Indiana"
"AMW",,,"US","iowa","ames","ames","ames.craigslist.org",,,,"Ames IA","Iowa"
"CID",,,"US","iowa","cedarrapids","cedar rapids","cedarrapids.craigslist.org",,,,"Cedar Rapids IA","Iowa"
"DSM",,,"US","iowa","desmoines","des moines","desmoines.craigslist.org",,,,"Des Moines IA","Iowa"
"DBQ",,,"US","iowa","dubuque","dubuque","dubuque.craigslist.org",,,,"Dubuque IA","Iowa"
"IAZ",,,"US","iowa","fortdodge","fort dodge","fortdodge.craigslist.org",,,,"Fort Dodge IA","Iowa"
"IOW",,,"US","iowa","iowacity","iowa city","iowacity.craigslist.org",,,,"Iowa City IA","Iowa"
"IAZ",,,"US","iowa","masoncity","mason city","masoncity.craigslist.org",,,,"Mason City IA","Iowa"
"IAZ",,,"US","iowa","ottumwa","southeast IA","ottumwa.craigslist.org",,,,"Southeast IA","Iowa"
"MOL",,,"US","iowa","quadcities","quad cities","quadcities.craigslist.org",,,,"Quad Cities IA/IL","Illinois"
"SUX",,,"US","iowa","siouxcity","sioux city","siouxcity.craigslist.org",,,,"Sioux City IA","Iowa"
"ALO",,,"US","iowa","waterloo","waterloo / cedar falls","waterloo.craigslist.org",,,,"Waterloo/Cedar Falls IA","Iowa"
"KSZ",,,"US","kansas","ksu","manhattan","ksu.craigslist.org",,,,"Manhattan KS","Kansas"
"LWC",,,"US","kansas","lawrence","lawrence","lawrence.craigslist.org",,,,"Lawrence KS","Kansas"
"KSZ",,,"US","kansas","nwks","northwest KS","nwks.craigslist.org",,,,"Northwest KS","Kansas"
"KSZ",,,"US","kansas","salina","salina","salina.craigslist.org",,,,"Salina KS","Kansas"
"KSZ",,,"US","kansas","seks","southeast KS","seks.craigslist.org",,,,"Southeast KS","Kansas"
"KSZ",,,"US","kansas","swks","southwest KS","swks.craigslist.org",,,,"Southwest KS","Kansas"
"FOE",,,"US","kansas","topeka","topeka","topeka.craigslist.org",,,,"Topeka KS","Kansas"
"ICT",,,"US","kansas","wichita","wichita","wichita.craigslist.org",,,,"Wichita KS","Kansas"
"KYZ",,,"US","kentucky","bgky","bowling green","bgky.craigslist.org",,,,"Bowling Green KY","Kentucky"
"KYZ",,,"US","kentucky","eastky","eastern kentucky","eastky.craigslist.org",,,,"Eastern KY","Kentucky"
"LEX",,,"US","kentucky","lexington","lexington","lexington.craigslist.org",,,,"Lexington KY","Kentucky"
"SDF",,,"US","kentucky","louisville","louisville","louisville.craigslist.org",,,,"Louisville KY","Kentucky"
"OWB",,,"US","kentucky","owensboro","owensboro","owensboro.craigslist.org",,,,"Owensboro KY","Kentucky"
"KYZ",,,"US","kentucky","westky","western KY","westky.craigslist.org",,,,"Western KY","Kentucky"
"BTR",,,"US","louisiana","batonrouge","baton rouge","batonrouge.craigslist.org",,,,"Baton Rouge LA","Louisiana"
"AEX",,,"US","louisiana","cenla","central louisiana","cenla.craigslist.org",,,,"Central LA","Louisiana"
"HUM",,,"US","louisiana","houma","houma","houma.craigslist.org",,,,"Houma LA","Louisiana"
"LFT",,,"US","louisiana","lafayette","lafayette","lafayette.craigslist.org",,,,"Lafayette LA","Louisiana"
"LCH",,,"US","louisiana","lakecharles","lake charles","lakecharles.craigslist.org",,,,"Lake Charles LA","Louisiana"
"MLU",,,"US","louisiana","monroe","monroe","monroe.craigslist.org",,,,"Monroe LA","Louisiana"
"MSY",,,"US","louisiana","neworleans","new orleans","neworleans.craigslist.org",,,,"New Orleans LA","Louisiana"
"SHV",,,"US","louisiana","shreveport","shreveport","shreveport.craigslist.org",,,,"Shreveport LA","Louisiana"
"PWM",,,"US","maine","maine","maine","maine.craigslist.org",,,,"Maine ME","Maine"
"WAS",,,"US","maryland","annapolis","annapolis","annapolis.craigslist.org",,,,"Annapolis MD","Maryland"
"BWI",,,"US","maryland","baltimore","baltimore","baltimore.craigslist.org",,,,"Baltimore MD","Maryland"
"VAZ",,,"US","maryland","easternshore","eastern shore","easternshore.craigslist.org",,,,"Eastern Shore VA","Virginia"
"MDZ",,,"US","maryland","frederick","frederick","frederick.craigslist.org",,,,"Frederick MD","Maryland"
"MDZ",,,"US","maryland","smd","southern maryland","smd.craigslist.org",,,,"Southern MD","Maryland"
"CBE",,,"US","maryland","westmd","western maryland","westmd.craigslist.org",,,,"Western MD","Maryland"
"BOS",,,"US","massachusetts","boston","boston","boston.craigslist.org","gbs","boston/camb/brook",,"Boston MA","Mass"
"BOS",,,"US","massachusetts","boston","boston","boston.craigslist.org","nwb","northwest/merrimack",,"Boston MA","Mass"
"BOS",,,"US","massachusetts","boston","boston","boston.craigslist.org","bmw","metro west",,"Boston MA","Mass"
"BOS",,,"US","massachusetts","boston","boston","boston.craigslist.org","nos","north shore",,"Boston MA","Mass"
"BOS",,,"US","massachusetts","boston","boston","boston.craigslist.org","sob","south shore",,"Boston MA","Mass"
"HYA",,,"US","massachusetts","capecod","cape cod / islands","capecod.craigslist.org",,,,"Cape Cod/Islands MA","Mass"
"MAZ",,,"US","massachusetts","southcoast","south coast","southcoast.craigslist.org",,,,"South Coast MA","Mass"
"PSF",,,"US","massachusetts","westernmass","western massachusetts","westernmass.craigslist.org",,,,"Western MA","Mass"
"MAZ",,,"US","massachusetts","worcester","worcester / central MA","worcester.craigslist.org",,,,"Worcester/Central MA","Mass"
"DET",,,"US","michigan","annarbor","ann arbor","annarbor.craigslist.org",,,,"Ann Arbor MI","Michigan"
"AZO",,,"US","michigan","battlecreek","battle creek","battlecreek.craigslist.org",,,,"Battle Creek MI","Michigan"
"MIZ",,,"US","michigan","centralmich","central michigan","centralmich.craigslist.org",,,,"Central MI","Michigan"
"DET","default",,"US","michigan","detroit","detroit metro","detroit.craigslist.org","mcb","macomb co",,"Detroit Metro MI","Michigan"
"DET","default",,"US","michigan","detroit","detroit metro","detroit.craigslist.org","wyn","wayne co",,"Detroit Metro MI","Michigan"
"DET","default",,"US","michigan","detroit","detroit metro","detroit.craigslist.org","okl","oakland co",,"Detroit Metro MI","Michigan"
"MIZ",,,"US","michigan","flint","flint","flint.craigslist.org",,,,"Flint MI","Michigan"
"GRR","default",,"US","michigan","grandrapids","grand rapids","grandrapids.craigslist.org",,,,"Grand Rapids MI","Michigan"
"GRR",,,"US","michigan","holland","holland","holland.craigslist.org",,,,"Holland MI","Michigan"
"JXN",,,"US","michigan","jxn","jackson ","jxn.craigslist.org",,,,"Jackson MI","Michigan"
"AZO","default",,"US","michigan","kalamazoo","kalamazoo","kalamazoo.craigslist.org",,,,"Kalamazoo MI","Michigan"
"LAN",,,"US","michigan","lansing","lansing","lansing.craigslist.org",,,,"Lansing MI","Michigan"
"DET",,,"US","michigan","monroemi","monroe ","monroemi.craigslist.org",,,,"Monroe MI","Michigan"
"MIZ",,,"US","michigan","muskegon","muskegon","muskegon.craigslist.org",,,,"Muskegon MI","Michigan"
"MIZ",,,"US","michigan","nmi","northern michigan","nmi.craigslist.org",,,,"Northern MI","Michigan"
"MIZ",,,"US","michigan","porthuron","port huron","porthuron.craigslist.org",,,,"Port Huron MI","Michigan"
"MBS",,,"US","michigan","saginaw","saginaw-midland-baycity","saginaw.craigslist.org",,,,"Saginaw-Midland-Baycity MI","Michigan"
"AZO",,,"US","michigan","swmi","southwest michigan","swmi.craigslist.org",,,,"Southwest MI","Michigan"
"MIZ",,,"US","michigan","thumb","the thumb","thumb.craigslist.org",,,,"The Thumb MI","Michigan"
"MIZ",,,"US","michigan","up","upper peninsula","up.craigslist.org",,,,"Upper Peninsula MI","Michigan"
"MNZ",,,"US","minnesota","bemidji","bemidji","bemidji.craigslist.org",,,,"Bemidji MN","Minnesota"
"MNZ",,,"US","minnesota","brainerd","brainerd","brainerd.craigslist.org",,,,"Brainerd MN","Minnesota"
"DLH",,,"US","minnesota","duluth","duluth / superior","duluth.craigslist.org",,,,"Duluth/Superior WI","Wisconsin"
"MNZ",,,"US","minnesota","mankato","mankato","mankato.craigslist.org",,,,"Mankato MN","Minnesota"
"MNZ",,,"US","minnesota","marshall","southwest MN","marshall.craigslist.org",,,,"Southwest MN","Minnesota"
"MSP",,,"US","minnesota","minneapolis","minneapolis / st paul","minneapolis.craigslist.org","hnp","hennepin co",,"Minneapolis/St Paul MN","Minnesota"
"MSP",,,"US","minnesota","minneapolis","minneapolis / st paul","minneapolis.craigslist.org","ram","ramsey co",,"Minneapolis/St Paul MN","Minnesota"
"MSP",,,"US","minnesota","minneapolis","minneapolis / st paul","minneapolis.craigslist.org","ank","anok/chis/isa",,"Minneapolis/St Paul MN","Minnesota"
"MSP",,,"US","minnesota","minneapolis","minneapolis / st paul","minneapolis.craigslist.org","wsh","washington/WI",,"Minneapolis/St Paul MN","Minnesota"
